,id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,fraud_count,chip_ratio,online_ratio,swipe_ratio,most_prefer,least_prefer,W_avg_min_amount,W_avg_max_amount,W_avg_mean_amount,W_avg_median_amount,W_avg_count_transaction,M_avg_min_amount,M_avg_max_amount,M_avg_mean_amount,M_avg_median_amount,M_avg_count_transaction,M_evg_unique_merchants,M_median_gap_sec,fraud_risk
14,1674,70,64,1949,4,Male,5073 Wessex Avenue,35.49,-90.35,14172,26858,11245,712,2,9.0,0.42835365853658536,0.07774390243902439,0.49390243902439024,Swipe,Online,11.730274509803921,113.93180039138943,34.57207842814937,29.844510763209392,6.418786692759295,4.693559322033899,201.03949152542373,33.94682384813646,24.865805084745762,27.796610169491526,15.11864406779661,34560.0,0
15,877,36,63,1983,8,Female,801 Mill Boulevard,33.44,-111.85,16829,34317,61826,610,3,5.0,0.42248443133398883,0.060308095706325796,0.5172074729596854,Swipe,Online,17.028501945525292,170.9046692607004,60.232667885729754,62.994134241245135,11.8715953307393,5.211949152542373,339.57313559322034,59.64169647702801,63.63525423728814,51.71186440677966,21.906779661016948,20130.0,0
16,128,40,66,1979,4,Female,6914 Wessex Avenue,29.76,-95.38,15389,31377,59615,722,2,7.0,0.39906103286384975,0.06704225352112676,0.5338967136150234,Swipe,Online,2.703035019455253,181.589766536965,41.326587692287674,21.134299610894942,10.359922178988327,1.4701694915254235,313.5807627118644,41.11210818067217,15.407669491525423,45.1271186440678,22.550847457627118,16740.0,0
17,140,37,72,1983,2,Female,108 Washington Street,36.28,-86.83,20657,42120,72801,739,4,15.0,0.3609862416564501,0.2295327612041956,0.4094809971393543,Swipe,Online,2.752568093385214,144.76091439688716,26.116034241553248,18.489717898832684,14.282101167315176,1.8466101694915256,287.8516101694915,25.947843221515633,18.677966101694917,62.21186440677966,24.677966101694917,21660.0,1
18,1874,49,66,1970,9,Male,7505 Tenth Boulevard,25.77,-80.2,18828,38390,87923,783,4,0.0,0.3940954342602128,0.06041881222107793,0.5454857535187092,Swipe,Online,6.422140077821012,166.74145914396888,41.824274291305926,27.607392996108953,11.334630350194553,2.11271186440678,328.80881355932206,41.60009287582685,27.368983050847458,49.3728813559322,25.864406779661017,22860.0,0
19,379,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,9.0,0.44880830343413636,0.023001025115325473,0.5281906714505382,Swipe,Online,0.9399416342412451,192.49210116731518,23.55242184001064,9.546177042801556,30.365758754863812,0.6595762711864407,377.2942372881356,23.528966267116473,5.840381355932203,132.27118644067798,32.059322033898304,10500.0,0
20,34,41,55,1978,8,Male,7467 Spruce Drive,38.48,-121.34,25431,51854,72162,737,2,5.0,0.45517241379310347,0.05141987829614605,0.4934077079107505,Swipe,Online,3.9763813229571983,277.2038715953308,53.00875488351259,43.49543774319066,19.182879377431906,2.681694915254237,540.5431355932203,52.95556125832915,42.3464406779661,83.55932203389831,25.88135593220339,20160.0,0
21,822,51,68,1968,4,Female,6323 Sussex Boulevard,32.61,-117.03,16942,34540,22641,793,5,14.0,0.2622091804653113,0.07440788094739048,0.6633829385872982,Swipe,Online,0.5552334630350194,148.7901945525292,34.42306168863136,18.537499999999998,9.282101167315176,0.19093220338983052,259.564406779661,34.763684603863595,13.530296610169492,40.432203389830505,21.906779661016948,29340.0,1
22,1499,46,62,1973,11,Male,8738 Fourth Street,41.97,-88.14,20248,41287,88151,662,1,5.0,0.501917341286749,0.06007669365146996,0.438005965061781,Chip,Online,16.90546875,136.00130208333334,43.90775550534534,38.7390234375,6.111979166666667,11.423932584269663,262.8506741573034,48.94893726674322,43.09443820224719,26.370786516853933,16.808988764044944,45240.0,0
23,811,91,68,1929,2,Female,5492 Maple Drive,38.9,-94.68,51642,84694,2149,741,7,5.0,0.4741083066714066,0.0472804834696054,0.47861120985898803,Swipe,Online,15.91079766536965,217.83250972762647,64.95203888130892,56.39114785992218,16.41828793774319,8.054152542372881,378.98118644067796,65.05597027622956,54.73262711864407,71.51694915254237,28.54237288135593,16320.0,0
24,1844,79,72,1941,2,Male,829 Birch Boulevard,27.8,-97.39,23608,37503,14272,706,5,27.0,0.41789287816362564,0.07224838140082401,0.5098587404355504,Swipe,Online,5.300778210116731,156.81013618677042,29.883643961868657,13.223910505836576,13.221789883268482,2.726101694915254,273.576779661017,29.841206335046873,11.55186440677966,57.59322033898305,23.203389830508474,20760.0,1
25,1852,57,75,1962,12,Male,41011 Seventh Boulevard,33.27,-111.94,32056,65357,21844,685,4,5.0,0.3638900634249471,0.14951374207188162,0.48659619450317126,Swipe,Online,6.155564202334631,277.9250583657588,40.227803568574146,19.2052140077821,23.005836575875488,3.087372881355932,522.0099152542373,40.37740112623303,18.354110169491523,100.21186440677967,34.09322033898305,13350.0,0
26,970,42,66,1977,11,Male,1942 Rose Avenue,29.1,-81.0,21916,44681,42011,770,3,11.0,0.12194843714350902,0.044718229523157654,0.8333333333333334,Swipe,Online,6.464007782101167,179.10782101167314,30.09859661429471,15.697441634241244,17.054474708171206,4.580677966101695,323.2925423728813,30.293160242352698,15.414957627118643,74.28813559322033,25.135593220338983,6420.0,1
27,1296,60,64,1959,11,Female,2468 Spruce Drive,28.7,-81.34,22896,46683,93126,788,5,15.0,0.29387926215762994,0.3636808272778088,0.3424399105645612,Online,Chip,4.078540856031128,155.9560700389105,27.78670922011409,19.081643968871596,27.844357976653697,2.826864406779661,318.0053389830508,27.871285038255763,18.766059322033897,121.28813559322033,31.127118644067796,4980.0,1
28,1880,61,66,1958,11,Male,8001 Essex Boulevard,43.06,-87.96,15487,31579,52419,771,3,5.0,0.19751060046505267,0.03665709205307072,0.7658323074818766,Swipe,Online,4.777918287937743,148.78482490272373,39.37453595348779,37.68777237354085,14.22373540856031,1.7443220338983052,276.17974576271183,39.116729711923206,39.72360169491525,61.95762711864407,28.74576271186441,19020.0,0
29,322,47,65,1972,10,Male,708 George Street,31.22,-84.21,13759,28055,12475,829,3,5.0,0.41476444876153473,0.07115104419621175,0.5140845070422535,Swipe,Online,1.0284046692607005,97.69863813229571,20.038776228268375,8.797548638132294,8.011673151750973,0.4257627118644068,205.26050847457628,20.258193471355696,5.625677966101695,34.898305084745765,16.5,36600.0,0
30,461,42,68,1977,12,Female,28 Hillside Boulevard,42.3,-83.48,32078,65403,80057,784,4,15.0,0.37851498540613654,0.02071616715312878,0.6007688474407347,Swipe,Online,2.897762645914397,197.52056420233464,37.16660080790502,27.139620622568092,27.328793774319067,2.0255932203389833,376.2890677966102,37.03591198130078,26.179957627118647,119.04237288135593,31.033898305084747,10740.0,1
31,1448,48,70,1971,12,Female,578 Maple Avenue,35.05,-82.09,18899,38539,0,850,3,1.0,0.18758278145695365,0.5832781456953643,0.22913907284768212,Online,Chip,6.830778210116732,142.37976653696498,36.70911678216633,35.15322957198443,23.50194552529183,2.9433898305084747,236.0191525423729,36.77268317866102,35.15610169491526,102.37288135593221,24.38135593220339,6660.0,0
32,1288,41,57,1978,7,Female,14 Valley Drive,38.47,-81.81,18666,38059,68220,634,2,14.0,0.27738990332975294,0.08754027926960257,0.6350698174006445,Swipe,Online,1.389727626459144,162.72856031128404,44.68176777499865,33.605856031128404,14.490272373540856,0.5910169491525423,295.47110169491526,44.4161104026858,31.990169491525425,63.11864406779661,21.779661016949152,13320.0,1
33,1391,45,59,1975,2,Male,9604 Catherine Drive,40.72,-73.86,25109,51196,67164,631,4,16.0,0.2521816807531093,0.4016354016354016,0.34618291761148906,Online,Chip,10.13525291828794,193.16784046692607,42.99473708196024,34.549951361867706,28.313229571984436,3.7809322033898303,323.7218644067797,43.09757743111674,34.596313559322034,123.33050847457628,27.033898305084747,6780.0,1
34,1452,46,59,1973,5,Female,524 Ocean Drive,29.76,-95.38,95039,193773,241571,660,1,7.0,0.29064039408866993,0.029967159277504107,0.6793924466338259,Swipe,Online,8.67955252918288,495.313093385214,37.83403705741455,25.39663424124514,33.175097276264594,5.41271186440678,1147.3172033898304,37.717639538770044,19.362966101694916,144.5084745762712,25.033898305084747,840.0,0
35,1602,41,66,1979,2,Female,2079 Maple Drive,40.38,-77.88,14650,29864,44902,717,2,2.0,0.260149783208514,0.102089081592432,0.637761135199054,Swipe,Online,23.096004366812224,121.97993464052288,52.6121854901332,47.65421568627451,5.52723311546841,9.880943396226415,190.1124528301887,52.297679366905534,40.308443396226416,23.933962264150942,16.62264150943396,49860.0,0
36,1492,63,58,1957,2,Female,2883 Ocean View Boulevard,47.32,-121.99,32697,56635,13015,786,8,18.0,0.4327940639824839,0.09232453472813526,0.47488140128938083,Swipe,Online,5.210583657587549,196.88457198443578,39.41581142966581,26.303054474708173,15.994163424124514,3.752881355932203,362.29661016949154,39.68887803142587,26.625423728813562,69.66949152542372,28.61864406779661,17640.0,1
37,688,44,67,1975,3,Male,5125 Elm Drive,41.31,-111.96,23165,47227,151030,760,4,16.0,0.1992416408135126,0.018729173848098357,0.782029185338389,Swipe,Online,1.9399597585513078,168.5099195171026,33.65986576477865,24.19844064386318,17.51106639839034,1.2305263157894737,318.79263157894735,33.68518853679255,22.48964912280702,76.34210526315789,23.99122807017544,16440.0,1
38,643,29,65,1991,1,Female,892 Spruce Street,40.69,-73.75,21283,43397,42168,697,2,8.0,0.4899552143314139,0.049392194497760715,0.46065259117082535,Chip,Online,2.120468085106383,124.56214893617022,26.826478845747236,20.01472340425532,16.627659574468087,1.399074074074074,246.68222222222224,27.011935397517693,18.89759259259259,72.36111111111111,30.833333333333332,13620.0,0
39,1219,28,72,1991,6,Female,9977 Oak Avenue,38.68,-76.17,28497,58105,70254,688,3,6.0,0.44295913717150237,0.07139602005164819,0.48564484277684944,Swipe,Online,3.6971544715447155,226.96516260162602,68.56481145730852,65.49860772357724,13.380081300813009,1.3746902654867257,404.0016814159292,68.19033649207991,68.32110619469026,58.256637168141594,25.31858407079646,18600.0,0
40,1198,82,67,1937,6,Male,79 South Boulevard,29.5,-97.44,15092,10869,1820,820,2,8.0,0.15492833126880198,0.6574942488055211,0.18757741992567686,Online,Chip,3.9784630350194554,158.9691634241245,38.33972225845121,36.12795719844358,21.988326848249027,2.17,293.9356779661017,38.28855601288427,36.34292372881356,95.77966101694915,23.364406779661017,13260.0,0
41,898,90,66,1929,6,Female,145 River Drive,40.59,-75.47,12427,19893,1712,566,3,4.0,0.25757290686735657,0.07676387582314205,0.6656632173095014,Swipe,Online,3.226945525291829,103.6060700389105,25.20722583765569,17.23750972762646,10.34046692607004,2.15,171.5986440677966,25.101249258170085,14.31834745762712,45.04237288135593,21.059322033898304,27360.0,0
42,882,63,65,1956,8,Male,7605 Essex Boulevard,40.39,-82.47,18019,36743,71719,612,2,1.0,0.3402277039848197,0.13434535104364326,0.525426944971537,Swipe,Online,5.925778210116731,163.50484435797665,34.19243215572817,19.633463035019457,10.252918287937744,3.846949152542373,327.7178813559322,33.791749025706515,15.345974576271187,44.66101694915254,20.864406779661017,28200.0,0
43,348,49,70,1970,7,Female,480 Seventh Lane,40.22,-74.76,22747,46377,79980,719,3,6.0,0.40943287037037035,0.08015046296296297,0.5104166666666666,Swipe,Online,18.556868884540116,154.2334375,52.1806294504378,48.266298828125,6.75,4.890338983050847,268.7591525423729,49.04888896563168,40.550932203389834,29.28813559322034,16.1864406779661,36150.0,0
44,633,36,69,1983,10,Female,5506 Fifth Boulevard,33.88,-118.27,24611,50179,110515,743,1,1.0,0.3202949663353639,0.11894838089131132,0.5607566527733248,Swipe,Online,22.680117647058825,211.2139607843137,81.41832215420744,75.30483333333332,6.1156862745098035,5.927033898305084,376.835593220339,78.51323548402563,72.53622881355932,26.43220338983051,17.347457627118644,43410.0,0
45,1493,30,65,1989,11,Male,136 Spruce Street,38.22,-122.55,26748,54537,121987,765,4,9.0,0.46518105849582175,0.04914444886589733,0.48567449263828094,Swipe,Online,24.378780487804878,212.17711382113822,83.01525362075593,87.57314024390244,10.215447154471544,7.187433628318583,384.1921238938053,80.74457073258371,85.4937610619469,44.47787610619469,15.070796460176991,19950.0,0
46,217,42,65,1977,10,Male,272 Burns Boulevard,41.77,-87.82,15221,31031,21853,744,7,15.0,0.37082869855394884,0.04004449388209121,0.58912680756396,Swipe,Online,7.605175097276264,142.62206225680936,35.35166532954545,27.815398832684824,13.992217898832685,2.03,264.0827966101695,35.421764223470866,27.549915254237288,60.94915254237288,27.949152542372882,25560.0,1
47,1877,65,66,1955,1,Male,190 Sixth Drive,32.92,-96.45,34659,70673,87605,714,4,11.0,0.4483102493074792,0.05373961218836565,0.49795013850415515,Swipe,Online,10.303677042801556,228.79896887159532,72.58061787149245,63.7958560311284,17.558365758754864,4.674322033898306,428.32957627118645,72.39266828723119,63.43885593220339,76.48305084745763,27.440677966101696,18120.0,1
48,668,87,57,1932,10,Female,8569 Wessex Boulevard,33.52,-86.79,13263,16342,1758,747,5,17.0,0.3657392935292279,0.03969990622069397,0.5945608002500782,Swipe,Online,1.228249027237354,127.41836575875486,22.723232590603665,15.169280155642024,18.671206225680933,0.6589830508474577,222.86898305084748,22.73756117969201,14.436610169491525,81.33050847457628,28.23728813559322,9120.0,1
49,203,58,67,1961,3,Female,407 Park Lane,32.9,-80.93,14864,30305,23392,776,3,16.0,0.13659985152190052,0.06483543677307597,0.7985647117050235,Swipe,Online,14.6268093385214,143.9879766536965,48.20171245119094,49.40941634241245,7.861867704280155,4.666779661016949,255.05025423728813,47.272159409521194,48.46127118644068,34.24576271186441,18.610169491525422,31800.0,1
50,1487,59,69,1961,2,Female,4793 North Street,40.69,-80.01,39464,80464,76261,727,3,23.0,0.44197616568321185,0.053800763623741754,0.5042230706930464,Swipe,Online,16.357217898832687,345.93842412451363,88.58623192381233,80.57349221789883,16.815175097276263,6.045254237288136,763.1448305084746,88.21926800275328,80.80004237288136,73.2457627118644,31.110169491525422,13140.0,1
51,370,61,58,1958,11,Male,381 Fifth Lane,34.07,-117.62,16113,41904,12545,655,4,10.0,0.4461928015916079,0.04214143606438777,0.5116657623440043,Swipe,Online,5.20476653696498,131.3868093385214,31.786302009285038,18.96839494163424,10.756809338521402,1.4907627118644067,276.7016101694915,31.748427132812783,16.22584745762712,46.855932203389834,23.466101694915253,31230.0,0
52,985,32,65,1987,6,Male,7276 Fourth Drive,42.8,-83.71,25334,51654,95454,600,4,2.0,0.4515831134564644,0.03799472295514512,0.5104221635883905,Swipe,Online,14.64988326848249,225.10422178988327,85.77466166287839,80.11640077821012,14.747081712062256,2.3341525423728813,356.30432203389825,85.07191548333799,73.74444915254237,64.23728813559322,25.152542372881356,15000.0,0
53,135,64,69,1955,6,Female,327 Lafayette Boulevard,39.72,-82.59,18680,38088,51679,691,2,6.0,0.14484222715429895,0.6857087715912381,0.169449001254463,Online,Chip,16.56896887159533,169.97480544747083,47.944753661855934,46.983929961089494,20.16147859922179,6.658813559322034,364.8727966101695,47.73400941970602,46.819661016949155,87.82203389830508,19.39830508474576,8340.0,0
54,1783,52,70,1967,9,Male,2093 Ocean Street,37.78,-122.24,18443,37607,63689,749,5,7.0,0.4415649767266323,0.04415649767266323,0.5142785256007045,Swipe,Online,1.614396887159533,131.83342412451364,24.071822735241323,10.920992217898833,15.464980544747082,1.1610169491525424,222.5929661016949,23.94752754324285,7.832161016949153,67.36440677966101,26.177966101694917,12000.0,0
55,1511,43,66,1977,1,Male,18 Norfolk Boulevard,43.07,-89.38,23680,48279,114254,719,2,17.0,0.4457693771406825,0.03272865660281619,0.5215019662565014,Swipe,Online,2.743657587548638,147.39346303501947,36.7080214318912,28.042966926070036,15.336575875486382,1.8313559322033899,232.9022033898305,36.50047736033162,27.05305084745763,66.80508474576271,27.949152542372882,10860.0,1
56,900,36,65,1983,7,Male,977 Littlewood Avenue,30.17,-85.67,16133,32896,69800,735,2,24.0,0.3694921583271098,0.08532486930545183,0.5451829723674384,Swipe,Online,2.912023346303502,168.35451361867703,39.54812998686929,27.25065175097276,10.42023346303502,1.731949152542373,325.131779661017,39.48619840245511,26.043855932203392,45.389830508474574,23.728813559322035,31380.0,1
57,233,37,64,1982,12,Female,896 Rose Street,44.96,-93.26,23278,47464,83591,716,1,6.0,0.5403879204517554,0.0542597593911122,0.40535232015713235,Chip,Online,16.584493827160493,185.70945679012345,71.3683160896114,64.09904938271605,10.056790123456791,5.0522580645161295,314.07032258064515,71.13062160011488,60.06623655913978,43.795698924731184,20.107526881720432,28020.0,0
58,1069,54,69,1965,9,Male,3683 Fifth Street,35.3,-81.03,22487,45852,114746,615,2,7.0,0.24468215910488134,0.3007500307389647,0.45456781015615394,Swipe,Chip,2.937237354085603,145.58756809338522,33.23948224578968,27.597519455252918,15.82295719844358,2.077457627118644,270.97483050847455,33.22477540279579,27.859957627118643,68.92372881355932,21.016949152542374,22680.0,0
59,180,33,67,1986,7,Female,0 Elm Street,33.53,-112.18,13024,26556,43042,840,2,10.0,0.16710369487485102,0.21120381406436234,0.6216924910607866,Swipe,Chip,9.377918287937744,127.63025291828794,36.453153391009984,20.514046692607003,8.16147859922179,4.862288135593221,219.34974576271188,36.629246328643184,17.913050847457626,35.55084745762712,20.24576271186441,29700.0,0
60,996,63,67,1956,11,Female,2302 Catherine Lane,26.02,-80.16,19712,40194,107765,738,6,29.0,0.3498322147651007,0.03392990305741984,0.6162378821774795,Swipe,Online,1.2623540856031128,223.27404669260702,41.80139334956398,17.256040856031127,20.8715953307393,0.8565254237288136,391.80194915254236,41.524973432920234,16.43406779661017,90.91525423728814,26.10169491525424,6600.0,1
61,1981,48,65,1972,1,Male,8975 Littlewood Boulevard,26.63,-81.99,19274,39303,23650,702,7,28.0,0.4069829424307036,0.1111407249466951,0.48187633262260127,Swipe,Online,11.175380116959065,154.72228070175439,45.37630898437705,43.149035087719305,7.313840155945419,2.890762711864407,301.50076271186435,44.89196692226047,43.23449152542373,31.796610169491526,18.466101694915253,21960.0,1
62,870,63,64,1956,3,Female,1389 Park Lane,38.64,-76.9,35114,71593,132181,821,3,5.0,0.048042246264811954,0.05589902112313241,0.8960587326120556,Swipe,Chip,0.9016147859922179,238.81455252918286,43.50194629149611,15.230632295719845,15.105058365758754,0.666271186440678,439.80593220338983,43.78577950662247,9.785720338983051,65.79661016949153,27.110169491525422,14400.0,0
63,16,75,67,1944,12,Male,2890 Eighth Lane,41.88,-87.84,15451,22158,19101,681,5,6.0,0.3442265795206972,0.15468409586056645,0.5010893246187363,Swipe,Online,14.532996108949417,178.8710505836576,56.68833863952279,48.72642023346304,8.929961089494164,5.1771186440677965,333.37101694915253,56.30184922261736,47.73618644067796,38.898305084745765,23.78813559322034,25200.0,0
64,46,62,66,1957,6,Male,20 Littlewood Boulevard,40.66,-73.84,26481,53996,98211,632,4,27.0,0.3896021556506578,0.051830718021873515,0.5585671263274687,Swipe,Online,8.640155642023347,239.01122568093385,45.66206308438108,23.29410505836576,12.27431906614786,5.8024576271186445,511.19330508474576,45.50556763279004,17.87063559322034,53.46610169491525,24.39830508474576,17280.0,1
65,697,56,73,1964,1,Female,889 Martin Luther King Avenue,35.72,-78.84,32485,66230,90248,742,3,8.0,0.3589560243117626,0.24311762602788703,0.3979263496603504,Swipe,Online,20.505907258064518,242.0716935483871,85.0652166029535,63.06614919354839,5.639112903225806,7.067652173913043,470.6304347826087,84.05785833969061,52.69882608695652,24.321739130434782,17.026086956521738,50160.0,0
66,1269,56,56,1963,10,Male,336 Rose Avenue,41.83,-87.68,25365,36335,28929,676,2,5.0,0.33502002951718324,0.2605945604048071,0.4043854100780097,Swipe,Online,1.2290856031128405,228.7690272373541,41.68810448684733,27.345719844357976,18.455252918287936,0.7853389830508475,394.7672033898305,41.54524767607176,28.364872881355932,80.38983050847457,24.305084745762713,9660.0,0
67,1782,59,61,1961,2,Female,4254 Plum Lane,33.74,-117.99,19438,39633,58586,777,3,2.0,0.3628486897717667,0.08093829247675402,0.5562130177514792,Swipe,Online,3.635486381322957,145.09517509727627,35.538392579378424,26.174815175097276,9.206225680933851,1.6720338983050849,270.7716101694915,35.079923227125605,22.33792372881356,40.101694915254235,21.372881355932204,19980.0,0
68,1977,43,69,1976,8,Female,825 Sussex Avenue,41.5,-87.5,28048,57185,0,773,3,19.0,0.43054518297236744,0.04642768235001245,0.5230271346776201,Swipe,Online,0.30361867704280154,220.81918287937742,27.012678381839017,2.345583657587549,15.630350194552529,0.2140677966101695,460.6624576271186,27.058582272539358,0.5884322033898305,68.08474576271186,19.779661016949152,20640.0,1
69,1913,60,57,1960,1,Female,561 Martin Luther King Avenue,42.47,-83.49,34259,31121,32768,619,5,12.0,0.45513270608060663,0.04437578991714647,0.5004915040022468,Swipe,Online,8.018501945525292,229.70834630350194,42.30143916883621,22.026546692607006,13.854085603112841,4.825847457627119,481.3465254237288,42.31167422976851,18.232669491525424,60.347457627118644,24.1864406779661,20460.0,1
70,858,47,67,1972,11,Male,335 Valley Stream Boulevard,29.5,-97.44,15092,30774,51428,700,3,21.0,0.46827075621364356,0.025471531817380575,0.5062577119689758,Swipe,Online,1.6190077821011672,165.1276653696498,24.50459125319931,34.08035019455253,22.073929961089494,1.0855084745762713,293.0274576271186,24.574580582491787,36.424703389830505,96.15254237288136,22.771186440677965,3600.0,1
71,1564,35,65,1984,10,Male,55 Ocean View Street,35.2,-101.81,18613,37947,49951,683,3,19.0,0.3856749311294766,0.12213039485766758,0.4921946740128558,Swipe,Online,2.2799416342412453,168.49785992217898,28.77018102521106,14.928278210116732,10.593385214007782,1.3253389830508473,390.1885593220339,28.91434951355437,10.927542372881357,46.144067796610166,21.889830508474578,17730.0,1
72,1301,26,66,1993,5,Female,9530 Washington Street,38.1,-122.63,30335,61850,81158,728,9,0.0,0.49024822695035464,0.036702127659574466,0.47304964539007094,Chip,Online,0.5911176470588235,266.17129411764705,37.05217457107308,9.272470588235294,16.58823529411765,0.4280769230769231,552.4506410256411,37.54406469968629,7.257115384615384,72.3076923076923,26.17948717948718,13560.0,0
